"rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"d03472","ASPIRIN; CAFFEINE; ORPHENADRINE",2,57,73,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,62,57,71,NA,57,73,178,81,83,211,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","SKELETAL MUSCLE RELAXANT COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","SALICYLATES","CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","SKELETAL MUSCLE RELAXANTS","COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS",NA,NA,NA,NA,NA,NA
"d03473","CARBIDOPA; LEVODOPA",2,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03484","MAGALDRATE; SIMETHICONE",2,87,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,88,NA,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTACIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTACIDS",NA,"GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03485","ATROPINE; HYOSCYAMINE; PHENOBARBITAL; SCOPOLAMINE",2,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,430,NA,57,64,201,57,65,197,57,67,68,87,355,89,105,106,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTICHOLINERGIC CHRONOTROPIC AGENTS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","BARBITURATE ANTICONVULSANTS","CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","ANTICHOLINERGIC ANTIEMETICS","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","MISCELLANEOUS AGENTS","ANTIDOTES",NA
"d03492","CHLORDIAZEPOXIDE; CLIDINIUM",2,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,69,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03494","HYOSCYAMINE; PHENOBARBITAL",2,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,201,57,67,68,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","BARBITURATE ANTICONVULSANTS","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03495","BELLADONNA; ERGOTAMINE; PHENOBARBITAL",2,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,193,57,64,201,57,67,68,87,355,89,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","BARBITURATE ANTICONVULSANTS","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA
"d03505","ATROPINE; DIFENOXIN",2,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,430,NA,87,90,NA,87,355,89,105,106,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTICHOLINERGIC CHRONOTROPIC AGENTS",NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS",NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","MISCELLANEOUS AGENTS","ANTIDOTES",NA,NA,NA,NA,NA,NA,NA
"d03506","ATROPINE; DIPHENOXYLATE",2,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,430,NA,87,90,NA,87,355,89,105,106,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTICHOLINERGIC CHRONOTROPIC AGENTS",NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS",NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","MISCELLANEOUS AGENTS","ANTIDOTES",NA,NA,NA,NA,NA,NA,NA
"d03508","ISONIAZID; RIFAMPIN",2,1,6,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,232,1,6,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","ANTITUBERCULOSIS COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","RIFAMYCIN DERIVATIVES","ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","HYDRAZIDE DERIVATIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03509","ERYTHROMYCIN; SULFISOXAZOLE",2,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,304,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MISCELLANEOUS ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES","ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03511","PHENAZOPYRIDINE; SULFAMETHOXAZOLE",2,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,"GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03513","METHENAMINE; SODIUM ACID PHOSPHATE",2,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,113,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,"GENITOURINARY TRACT AGENTS","URINARY PH MODIFIERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03518","EPINEPHRINE; PILOCARPINE OPHTHALMIC",2,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03520","NAPHAZOLINE; PHENIRAMINE OPHTHALMIC",2,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03524","BACITRACIN; NEOMYCIN; POLYMYXIN B TOPICAL",2,133,136,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03525","GRAMICIDIN; NEOMYCIN; POLYMYXIN B OPHTHALMIC",2,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03526","NEOMYCIN; POLYMYXIN B SULFATE TOPICAL",2,133,136,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03529","POLYMYXIN B; TRIMETHOPRIM OPHTHALMIC",2,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03533","NEOMYCIN; POLYMYXIN B; PREDNISOLONE OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03534","GENTAMICIN; PREDNISOLONE OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03535","DEXAMETHASONE; NEOMYCIN OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03536","DEXAMETHASONE; TOBRAMYCIN OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03537","DEXAMETHASONE; NEOMYCIN; POLYMYXIN B OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03541","PREDNISOLONE; SULFACETAMIDE SODIUM OPHTHALMIC",2,133,147,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03542","FLUORESCEIN; PROPARACAINE OPHTHALMIC",2,133,147,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,287,133,147,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC DIAGNOSTIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANESTHETICS","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC DIAGNOSTIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03543","HYDROCORTISONE; NEOMYCIN; POLYMYXIN B OTIC",2,133,148,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,290,133,148,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03546","HYDROCORTISONE; PRAMOXINE TOPICAL",2,133,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,133,136,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","ANORECTAL PREPARATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANESTHETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03561","BETAMETHASONE; CLOTRIMAZOLE TOPICAL",2,133,136,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,133,136,292,133,151,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS","TOPICAL AGENTS","VAGINAL PREPARATIONS","VAGINAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03562","NYSTATIN; TRIAMCINOLONE TOPICAL",2,133,136,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,133,136,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS WITH ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03564","DESERPIDINE; METHYCLOTHIAZIDE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03566","CAPTOPRIL; HYDROCHLOROTHIAZIDE",2,40,55,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ACE INHIBITORS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03569","CARBINOXAMINE",1,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03570","CARBINOXAMINE; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03572","CARAMIPHEN; PHENYLPROPANOLAMINE",2,122,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,124,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03574","CARBETAPENTANE; CHLORPHENIRAMINE; EPHEDRINE; PHENYLEPHRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,122,123,NA,122,124,NA,122,127,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA
"d03576","BROMODIPHENHYDRAMINE; CODEINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,60,122,123,NA,122,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03577","CARBINOXAMINE; DEXTROMETHORPHAN; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,122,124,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03600","POTASSIUM BICARBONATE",1,115,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","MINERALS AND ELECTROLYTES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","MINERALS AND ELECTROLYTES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d03618","HYOSCYAMINE; METHENAM; M-BLUE; PHENYL SALICYLATE",2,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,57,58,62,87,355,89,105,106,NA,113,266,NA,331,112,464,"GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","SALICYLATES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","MISCELLANEOUS AGENTS","ANTIDOTES",NA,"GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS",NA,"RADIOLOGIC AGENTS","RADIOCONTRAST AGENTS","MISCELLANEOUS DIAGNOSTIC DYES"
